PX575678.1	𝟇.1.7
PP053528.1	𝟇.5.23
KU739996.1	𝟇.66.3
PQ299866.1	𝟇.5.40
EU372756.1	𝟇.22.4
MK953581.1	𝟇.3.30
LC325844.1	𝟇.46.5
MN556671.1	𝟇.82.3
MN203576.1	𝟇.5.37
MH697650.1	𝟇.12.3
KJ482501.1	𝟇.5.11
KX814944.1	𝟇.18.2
EF583016.1	𝟇.1.99
PV430827.1	𝟇.5.52
KY971969.1	𝟇.62
MH060112.1	𝟇.1.19
OR344103.1	𝟇.99
KU510404.1	𝟇.5.171
OQ799766.1	𝟇.3.13
LC765798.1	𝟇.34.4
OR727620.1	𝟇.17
LC875990.1	𝟇.3.25
MK227998.1	𝟇.65.2
OQ799835.1	𝟇.5.94
KF835925.1	𝟇.3.12
GU183247.1	𝟇.5.177
KJ628067.1	𝟇.42
OQ799806.1	𝟇.5.36
MK228039.1	𝟇.5.29
PP053530.1	𝟇.5.23
JX036369.1	𝟇.46.4
OM416833.1	𝟇.14.3
KF636260.1	𝟇.1.34
KC769397.1	𝟇.3.5
MK597986.1	𝟇.1.64
PV430927.1	𝟇.5.66
KF835928.1	𝟇.3.34
PX940984.1	𝟇.5.52
KU243658.1	𝟇.63.2
MG781045.1	𝟇.5.217
EU372755.1	𝟇.22.4
OQ440173.1	𝟇.3.48
PX137435.1	𝟇.5.55
LC469483.1	𝟇.1.25
MT784822.1	𝟇.90
PV390435.1	𝟇.5.183
EF592587.1	𝟇.1.94
KJ482502.1	𝟇.5.11
LC328218.1	𝟇.23.4
PV390388.1	𝟇.12.29
PQ299877.1	𝟇.5.181
MT163203.1	𝟇.89
KJ628059.1	𝟇.42
PV430915.1	𝟇.12.15
EF200568.1	𝟇.1.2
KJ628074.1	𝟇.42
EU372761.1	𝟇.5.28
LC704658.1	𝟇.78.1
PV430839.1	𝟇.5.39
EU372782.1	𝟇.21.3
JN014005.1	𝟇.3.40
OR683282.1	𝟇.5.42
PP003807.1	𝟇.5.68
OK318952.1	𝟇.1.40
EU372757.1	𝟇.5.19
DQ923796.1	𝟇.18.1
EF583028.1	𝟇.4.2
PP053591.1	𝟇.3.4
AB853894.1	𝟇.2.3
MH238301.1	𝟇.82.1
GU183250.1	𝟇.5.122
PQ586691.1	𝟇.21.2
OR947991.1	𝟇.3.52
PQ822049.1	𝟇.14.5
KY657817.1	𝟇.3.7
OQ799853.1	𝟇.5.79
LC328186.1	𝟇.17
ON058281.1	𝟇.3.37
PP115430.1	𝟇.1.14
MK228027.1	𝟇.5.29
KU739930.1	𝟇.65.4
KJ412624.1	𝟇.18.1
KJ752132.1	𝟇.6.6
MN551591.1	𝟇.85
ON059878.1	𝟇.94
PQ299839.1	𝟇.5.40
KX618234.1	𝟇.52
JN014002.1	𝟇.1.5
PP457639.1	𝟇.1.32
PV430813.1	𝟇.12.37
MK228040.1	𝟇.5.29
KM820729.1	𝟇.11.6
ON711388.1	𝟇.1.33
PP669379.1	𝟇.5.7
HM988972.1	𝟇.38
OQ799768.1	𝟇.12.23
EU372775.1	𝟇.5.22
KU740010.1	𝟇.65.12
KM820725.1	𝟇.5.84
MK228005.1	𝟇.65.4
KJ752489.1	𝟇.5.53
OR514137.1	𝟇.1.14
EU372776.1	𝟇.5.22
OQ333048.1	𝟇.5.193
PP991471.1	𝟇.26.2
JX567763.1	𝟇.1.71
KU739970.1	𝟇.5.60
PP669504.1	𝟇.5.7
PV430862.1	𝟇.5.164
GU983675.1	𝟇.33.1
OQ117393.1	𝟇.1.31
FJ347115.1	𝟇.27
LC810923.1	𝟇.1.77
PP669438.1	𝟇.5.7
MW771109.1	𝟇.1.60
JN129104.1	𝟇.43
JN706533.1	𝟇.18.1
KF036160.1	𝟇.3.36
AB749341.1	𝟇.6.2
OQ799841.1	𝟇.65.9
MF462325.1	𝟇.5.135
OM982777.1	𝟇.5.102
PX137500.1	𝟇.5.52
OM982795.1	𝟇.5.145
AB762771.1	𝟇.4.1
KU740030.1	𝟇.65.11
AB908916.1	𝟇.7.2
PV390440.1	𝟇.12.13
KX420944.1	𝟇.33.2
PP465012.1	𝟇.1.32
MH238292.1	𝟇.5.13
PV430876.1	𝟇.12.47
PQ274862.1	𝟇.1.93
LC169900.1	𝟇.1.19
KP752859.1	𝟇.5.12
PP848584.1	𝟇.1.34
OL989008.1	𝟇.5.71
JN129105.1	𝟇.43
KC815684.1	𝟇.8.2
MH238299.1	𝟇.82.2
PV423530.1	𝟇.5.6
PP053524.1	𝟇.5.23
EU372773.1	𝟇.5.22
KP882661.1	𝟇.1.5
KC855060.1	𝟇.5.56
OR124731.1	𝟇.1.22
EU372751.1	𝟇.21.3
PV938346.1	𝟇.1.22
GU183251.1	𝟇.5.122
GU183254.1	𝟇.5.27
OQ799764.1	𝟇.3.53
OR205481.1	𝟇.1.8
GU296428.1	𝟇.6.12
OR683326.1	𝟇.5.42
KF041434.1	𝟇.3.27
D00325.1	𝟇.6.7
OR947937.1	𝟇.12.38
KF501109.1	𝟇.5.57
PX137373.1	𝟇.5.20
LC777930.1	𝟇.5.137
LC777965.1	𝟇.80
PQ299965.1	𝟇.5.62
MN203568.1	𝟇.5.70
MK272927.1	𝟇.84.2
PV430917.1	𝟇.12.26
ON058283.1	𝟇.5.121
KC610682.1	𝟇.5.49
PV430808.1	𝟇.105
KC713901.2	𝟇.22.1
PV390427.1	𝟇.5.5
AB733132.2	𝟇.4.5
KC178799.1	𝟇.4.3
PV390428.1	𝟇.12.35
KY657830.1	𝟇.3.23
MK606443.1	𝟇.5.112
OM982817.1	𝟇.5.188
MK228030.1	𝟇.5.152
OQ799765.1	𝟇.3.53
PQ273714.1	𝟇.5.40
KX024682.1	𝟇.1.27
PP053574.1	𝟇.5.90
LC460430.1	𝟇.1.5
MN529953.1	𝟇.11.3
MT364861.1	𝟇.40.1
JQ423906.1	𝟇.45
PV827188.1	𝟇.69.2
MH238294.1	𝟇.82.2
PV390380.1	𝟇.5.5
PV390413.1	𝟇.5.75
PQ724861.1	𝟇.12.36
PV430782.1	𝟇.5.54
MH238295.1	𝟇.5.13
MH238312.1	𝟇.5.139
EU805774.2	𝟇.25
PQ141620.1	𝟇.12.6
OQ799867.1	𝟇.5.194
KF447865.1	𝟇.3.27
OP963652.1	𝟇.96
LC553632.1	𝟇.1.54
PV430899.1	𝟇.12.6
MK228025.1	𝟇.66.4
KM027135.2	𝟇.3.29
KY113339.1	𝟇.26.2
OQ799788.1	𝟇.81.1
MH238298.1	𝟇.82.1
PX551873.1	𝟇.1.50
EU372758.1	𝟇.5.28
OP358442.1	𝟇.93
PV430883.1	𝟇.34.1
KY971971.1	𝟇.62
PP053525.1	𝟇.5.132
KM027160.2	𝟇.3.62
HM235508.1	𝟇.1.75
OQ799824.1	𝟇.12.23
JF521477.1	𝟇.3.33
PQ299825.1	𝟇.5.125
OQ799815.1	𝟇.5.94
LC467825.1	𝟇.7.3
PV390443.1	𝟇.5.206
FN665693.1	𝟇.1.88
MH308723.1	𝟇.21.5
AY740737.1	𝟇.14.1
PP874408.1	𝟇.5.150
OQ799781.1	𝟇.3.13
PZ488421.1	𝟇.12.48
MK227992.1	𝟇.65.3
LC061625.1	𝟇.3.39
PX700939.1	𝟇.6.6
KU887650.1	𝟇.5.165
ON058282.1	𝟇.58.1
KU739998.1	𝟇.5.29
PP053526.1	𝟇.5.23
FJ495131.1	𝟇.1.34
PV430929.1	𝟇.5.66
OQ440213.1	𝟇.97.1
LC133573.1	𝟇.1.67
LC467869.1	𝟇.7.2
KU887651.1	𝟇.68
KJ482497.1	𝟇.1.9
OR947979.1	𝟇.3.15
KJ875795.1	𝟇.40.4
MG676136.1	𝟇.3.49
KY053147.1	𝟇.5.129
MH238297.1	𝟇.82.1
OQ807044.1	𝟇.1.22
MG676125.1	𝟇.3.61
PV430919.1	𝟇.5.63
MK228011.1	𝟇.5.29
KC855062.1	𝟇.5.44
PV390434.1	𝟇.12.40
MN477240.1	𝟇.85
PP053562.1	𝟇.5.148
OR947971.1	𝟇.102
PV418649.1	𝟇.40.1
MH769728.1	𝟇.1.21
KM027117.2	𝟇.20.2
GU984757.1	𝟇.1.15
KY657818.1	𝟇.3.7
PQ299954.1	𝟇.97.2
KF501112.1	𝟇.5.116
ON059873.1	𝟇.94
OQ799811.1	𝟇.5.26
FJ685614.1	𝟇.3.22
MK953572.1	𝟇.3.30
PP848582.1	𝟇.1.34
OQ799779.1	𝟇.3.9
PX137448.1	𝟇.5.55
MK227981.1	𝟇.66.1
EU372786.1	𝟇.5.8
LC119108.1	𝟇.6.8
LC460245.1	𝟇.8.1
MK227980.1	𝟇.66.1
KJ482500.1	𝟇.5.11
MT364839.1	𝟇.40.1
MK597964.1	𝟇.5.112
KJ482496.1	𝟇.55
EU372799.1	𝟇.5.19
MH238306.1	𝟇.5.163
PV390429.1	𝟇.5.174
MK250428.1	𝟇.1.89
KX988279.1	𝟇.58.1
PQ678258.1	𝟇.104
OQ799789.1	𝟇.5.88
KU243656.1	𝟇.40.2
OK087525.1	𝟇.91
PP053542.1	𝟇.5.179
MN203572.1	𝟇.5.158
OR947939.1	𝟇.12.14
FJ422136.1	𝟇.1.96
GU183252.1	𝟇.5.61
MK228042.1	𝟇.65.8
MK227997.1	𝟇.65.2
PV430772.1	𝟇.5.47
MH238293.1	𝟇.82.1
KF501111.1	𝟇.53
JF804993.1	𝟇.23.3
LC774619.1	𝟇.21.7
MK228033.1	𝟇.65.10
KR705359.1	𝟇.1.33
MK227988.1	𝟇.5.25
EU372752.1	𝟇.5.8
FJ947312.1	𝟇.11.4
EF554119.1	𝟇.1.41
PV418639.1	𝟇.40.1
KU739983.1	𝟇.65.3
PQ300018.1	𝟇.97.1
JN129107.1	𝟇.43
OL988996.1	𝟇.1.57
MK228032.1	𝟇.5.208
HQ127442.1	𝟇.39
KP753193.1	𝟇.5.169
JF304919.1	𝟇.6.2
OR947968.1	𝟇.5.200
KC769375.1	𝟇.3.59
MW280947.1	𝟇.6.9
LC367318.1	𝟇.1.84
OM982819.1	𝟇.5.155
KJ482495.1	𝟇.5.11
OR715773.1	𝟇.17
OR205418.1	𝟇.1.38
KU739920.1	𝟇.5.29
MK227994.1	𝟇.5.18
KC140589.1	𝟇.31
EU372762.1	𝟇.5.28
PV430836.1	𝟇.12.21
KX356105.1	𝟇.3.63
PP053522.1	𝟇.5.23
PV430828.1	𝟇.5.52
PV430785.1	𝟇.5.54
OR947970.1	𝟇.3.26
PX677623.1	𝟇.5.86
PV368523.1	𝟇.1.13
MK227996.1	𝟇.65.2
PP669515.1	𝟇.5.7
PZ294966.1	𝟇.5.85
EU372797.1	𝟇.5.19
KC855061.1	𝟇.5.56
GU199496.1	𝟇.31
PV390433.1	𝟇.5.147
GQ477091.2	𝟇.28
LC328221.1	𝟇.46.1
KJ820895.1	𝟇.17
OR947969.1	𝟇.5.76
KJ482488.1	𝟇.5.56
LC776539.1	𝟇.5.91
KX988268.1	𝟇.58.1
LC467814.1	𝟇.7.3
KJ412568.1	𝟇.49.4
JQ230098.1	𝟇.22.1
KU243654.1	𝟇.40.3
LC467891.1	𝟇.8.1
EU372770.1	𝟇.5.127
KU740001.1	𝟇.5.18
HQ846870.1	𝟇.1.31
PV430799.1	𝟇.12.19
PV390431.1	𝟇.5.134
PV390441.1	𝟇.5.173
PP669391.1	𝟇.5.7
JF720879.1	𝟇.1.56
KJ411437.1	𝟇.1.79
EU372783.1	𝟇.5.19
KR262154.1	𝟇.46.5
MN066815.1	𝟇.3.6
PP053563.1	𝟇.5.185
LC095901.1	𝟇.5.59
PP408165.1	𝟇.1.42
OQ799844.1	𝟇.12.23
HM348744.1	𝟇.12.8
OP680458.1	𝟇.1.46
PV390386.1	𝟇.5.128
MT025914.1	𝟇.57
ON454217.1	𝟇.1.37
PV390416.1	𝟇.12.4
PP053585.1	𝟇.5.73
EU372789.1	𝟇.5.28
AB924088.1	𝟇.5.168
OQ799862.1	𝟇.12.13
KU243641.1	𝟇.46.7
OQ799813.1	𝟇.5.95
PV430874.1	𝟇.5.113
OR947938.1	𝟇.12.14
KU739950.1	𝟇.65.5
MN649738.1	𝟇.2.13
MZ065797.1	𝟇.3.43
KU739973.1	𝟇.66.1
OQ799810.1	𝟇.34.5
LC684239.1	𝟇.4.2
KP883178.1	𝟇.1.5
LC158118.1	𝟇.40.5
PP053573.1	𝟇.3.15
MK228008.1	𝟇.65.5
LC876001.1	𝟇.3.25
OQ799864.1	𝟇.12.10
KJ820851.1	𝟇.17
PZ347299.1	𝟇.3.15
PV430788.1	𝟇.5.54
EU372754.1	𝟇.5.8
HQ650121.1	𝟇.4.2
GU984759.1	𝟇.1.15
MN649734.1	𝟇.88.4
OR501113.1	𝟇.40.1
OR947982.1	𝟇.3.15
EU330646.1	𝟇.12.28
MK228038.1	𝟇.5.172
PP645798.1	𝟇.1.42
DQ204741.1	𝟇.12.46
OR947956.1	𝟇.101
KJ482487.1	𝟇.5.44
JF304930.1	𝟇.4.3
PX940874.1	𝟇.1.86
KJ126830.1	𝟇.3.51
OQ799818.1	𝟇.5.138
OR683359.1	𝟇.5.42
EU372784.1	𝟇.5.8
PV390399.1	𝟇.12.12
MN203579.1	𝟇.5.72
MK228029.1	𝟇.66.3
MK228036.1	𝟇.5.30
PV390415.1	𝟇.12.7
OQ799767.1	𝟇.12.2
KU597746.1	𝟇.18.4
MK376896.1	𝟇.1.26
LC467847.1	𝟇.7.2
KC113249.1	𝟇.12.3
ON989017.1	𝟇.3.42
HQ661116.1	𝟇.40.4
KC257095.1	𝟇.1.4
LC704647.1	𝟇.78.1
OQ799828.1	𝟇.5.93
PP053565.1	𝟇.3.41
KP753126.1	𝟇.5.144
OQ799817.1	𝟇.5.94
KF185107.1	𝟇.52
MK936418.1	𝟇.82.1
MK953606.1	𝟇.3.30
EU708927.1	𝟇.23.1
JF712581.1	𝟇.42
MH238307.1	𝟇.82.2
LC467902.1	𝟇.8.1
KM027118.2	𝟇.20.2
KC579918.1	𝟇.3.18
KX363349.1	𝟇.5.130
DQ870507.1	𝟇.4.2
KF740531.1	𝟇.31
MN528106.1	𝟇.85
MK227978.1	𝟇.67
LC776504.1	𝟇.5.166
EU372788.1	𝟇.5.28
KJ482486.1	𝟇.5.107
ON012967.1	𝟇.1.22
JN014003.1	𝟇.1.24
LC568994.1	𝟇.15.2
KC618432.1	𝟇.5.89
PQ314330.1	𝟇.21.2
OQ799839.1	𝟇.5.77
MK227984.1	𝟇.66.1
PP053529.1	𝟇.5.23
KP752963.1	𝟇.5.154
OQ799772.1	𝟇.5.124
ON059877.1	𝟇.94
PX448541.1	𝟇.20.1
MH238296.1	𝟇.5.13
KR052750.1	𝟇.57
MK228016.1	𝟇.66.5
OK574453.1	𝟇.92.1
JF805013.1	𝟇.1.53
MK272926.1	𝟇.84.2
PQ299888.1	𝟇.5.86
PV390426.1	𝟇.12.32
PV430853.1	𝟇.5.113
LC208010.1	𝟇.75
LC777980.1	𝟇.12.30
OP946893.1	𝟇.11.5
KF447854.1	𝟇.3.27
PV390423.1	𝟇.5.143
OM982739.1	𝟇.5.83
LC340023.1	𝟇.40.1
HQ611020.2	𝟇.3.10
MK228015.1	𝟇.66.5
KU956011.1	𝟇.1.92
OQ440187.1	𝟇.3.45
PX137285.1	𝟇.5.98
LC001920.1	𝟇.4.2
HM627546.1	𝟇.1.70
KT887535.1	𝟇.1.44
KU739976.1	𝟇.5.30
MK228035.1	𝟇.5.92
GQ477093.2	𝟇.1.28
KX814923.1	𝟇.71.2
PP053597.1	𝟇.3.15
PX700941.1	𝟇.1.62
JF805003.1	𝟇.1.49
KX024671.1	𝟇.1.27
MN203578.1	𝟇.5.196
PX137395.1	𝟇.5.20
PZ390153.1	𝟇.14.3
PP874441.1	𝟇.5.117
LC553599.1	𝟇.2.1
MK227991.1	𝟇.66.3
PP053539.1	𝟇.12.9
MH238305.1	𝟇.5.163
GQ468565.3	𝟇.3.58
OQ799762.1	𝟇.81.1
MK228009.1	𝟇.65.6
LC834031.1	𝟇.1.91
MK936421.1	𝟇.5.33
EU708894.1	𝟇.23.4
PV390409.1	𝟇.12.7
MN539288.1	𝟇.46.3
MH238308.1	𝟇.82.2
MK379320.1	𝟇.5.201
AB040055.1	𝟇.1.67
PQ368749.1	𝟇.1.14
KJ020894.1	𝟇.24.3
MW771164.1	𝟇.1.60
JF796705.1	𝟇.5.110
LC875957.1	𝟇.22.3
MK936420.1	𝟇.5.38
HM348745.1	𝟇.22.8
LC875935.1	𝟇.5.21
KX825944.1	𝟇.3.6
KM820723.1	𝟇.5.195
KM454485.1	𝟇.7.2
MN102370.1	𝟇.12.42
OQ743750.1	𝟇.21.2
MH898991.1	𝟇.12.6
KP753063.1	𝟇.5.142
KM454496.1	𝟇.7.2
PV076102.1	𝟇.2.9
LC810890.1	𝟇.57
MT226650.1	𝟇.1.31
AB908938.1	𝟇.8.1
KY657831.1	𝟇.3.23
AB908905.1	𝟇.7.2
PV430867.1	𝟇.12.4
KJ482491.1	𝟇.5.11
EF200567.1	𝟇.19.1
KF360214.1	𝟇.52
OQ799790.1	𝟇.5.88
PV500798.1	𝟇.21.2
HQ846881.1	𝟇.1.31
PV430866.1	𝟇.12.4
EU708938.1	𝟇.23.4
JF796738.1	𝟇.21.4
LC776491.1	𝟇.5.166
KY113332.1	𝟇.26.2
HQ171913.1	𝟇.1.75
AB779621.1	𝟇.5.120
MT226617.1	𝟇.1.31
MN203575.1	𝟇.5.37
MN203574.1	𝟇.5.207
LC119097.1	𝟇.6.8
PP053538.1	𝟇.12.9
EU708905.1	𝟇.23.4
MH910078.1	𝟇.12.6
PQ452937.1	𝟇.21.2
KM027180.2	𝟇.3.32
KM027119.2	𝟇.20.2
PV804793.1	𝟇.21.6
FN665682.1	𝟇.1.29
PV804804.1	𝟇.21.6
PV430790.1	𝟇.5.205
PP053558.1	𝟇.5.210
MT234355.1	𝟇.1.60
MH238310.1	𝟇.82.2
KF360211.1	𝟇.52
KJ753780.1	𝟇.3.17
KC412051.1	𝟇.49.3
KJ820873.1	𝟇.20.2
PV631379.1	𝟇.5.104
OQ799763.1	𝟇.81.1
PX700942.1	𝟇.1.36
MN529952.1	𝟇.11.3
OR947985.1	𝟇.5.23
KU962132.1	𝟇.2.6
MK227990.1	𝟇.66.3
PP053540.1	𝟇.12.14
PZ156474.1	𝟇.3.55
KR632622.1	𝟇.61
KJ879452.1	𝟇.59
MK228023.1	𝟇.5.46
PQ452948.1	𝟇.5.124
PV430904.1	𝟇.12.34
PV390394.1	𝟇.12.12
LC467924.1	𝟇.8.1
PP580396.1	𝟇.5.170
OR683293.1	𝟇.5.42
KM276823.2	𝟇.60
PP991493.1	𝟇.1.47
KC443591.1	𝟇.4.2
OR947954.1	𝟇.101
KY426813.1	𝟇.2.11
MK751436.1	𝟇.14.4
KJ482489.1	𝟇.5.106
LC776480.1	𝟇.5.41
FJ347126.1	𝟇.1.78
PQ299943.1	𝟇.97.1
MK227402.1	𝟇.3.21
LC467803.1	𝟇.7.3
PP453591.1	𝟇.8.2
OP963641.1	𝟇.18.3
KM027130.2	𝟇.20.3
KC580146.1	𝟇.3.18
JX867344.1	𝟇.6.11
MK228004.1	𝟇.5.29
KP258402.1	𝟇.14.6
PP053569.1	𝟇.5.216
OM450959.1	𝟇.14.3
LC328219.1	𝟇.40.4
KY657829.1	𝟇.3.23
AB971764.1	𝟇.9
OQ799822.1	𝟇.5.138
KF726057.1	𝟇.3.56
KJ820907.1	𝟇.17
PX137384.1	𝟇.5.20
OR205482.1	𝟇.11.3
EF583032.1	𝟇.20.2
GU183242.1	𝟇.1.81
OR644648.1	𝟇.12.16
PV430920.1	𝟇.5.63
MN203580.1	𝟇.5.72
KJ752622.1	𝟇.1.5
OR947990.1	𝟇.5.1
MT854601.1	𝟇.3.54
MK227982.1	𝟇.66.1
PX056338.1	𝟇.103.1
AB779620.1	𝟇.5.120
KF835921.1	𝟇.3.12
MK272924.1	𝟇.84.1
KU739993.1	𝟇.5.14
MZ165494.1	𝟇.12.3
KU360936.1	𝟇.52
